Country,Region,County,Climate Conditions,Temperature Range (°C),Light Intensity (hours/day),Relative Humidity (%),Annual Precipitation (mm),Wind Conditions,Soil Moisture,Soil Nutrients,Atmospheric Gases,Altitude (m),Topography,Frost,Heat Stress,Cold Stress,Day Length (hours),Air Quality,Other
Kenya,North Eastern,Garissa,Arid,25 - 40,6 - 8,20 - 40,100 - 300,High,Low,Low,Diverse,150,Mixed flat and elevated,Rare,High,High,11 - 13,Moderate,Hot and dry
Kenya,North Eastern,Wajir,Arid,25 - 40,6 - 8,20 - 40,100 - 300,High,Low,Low,Diverse,525,Flat with occasional elevation,Rare,High,High,11 - 13,Moderate,Hot and dry
Kenya,North Eastern,Mandera,Arid,25 - 40,6 - 8,20 - 40,100 - 300,High,Low,Low,Diverse,506,Flat with occasional elevation,Rare,High,High,11 - 13,Moderate,Hot and dry
Kenya,North Eastern,Marsabit,Semi-Arid,20 - 30,6 - 8,30 - 50,200 - 400,High,Low,Medium,Diverse,1356,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Sparse vegetation
Kenya,Northern,Isiolo,Subtropical,18 - 30,5 - 7,30 - 60,300 - 700,High,Low,Medium,Diverse,1085,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Transition zone
Kenya,Northern,Samburu,Semi-Arid,20 - 35,6 - 8,30 - 50,300 - 500,High,Low,Medium,Diverse,882,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Wildlife habitat
Kenya,Northern,Turkana,Arid,25 - 40,7 - 9,20 - 40,100 - 300,High,Low,Low,Diverse,506,Flat with occasional elevation,Rare,High,High,11 - 13,Moderate,Extreme aridity
Kenya,Northern,Mandera,Arid,25 - 40,6 - 8,20 - 40,100 - 300,High,Low,Low,Diverse,506,Flat with occasional elevation,Rare,High,High,11 - 13,Moderate,Hot and dry
Kenya,Central,Kiambu,Subtropical Highland,12 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1700,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Central,Nyeri,Subtropical Highland,10 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1650,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Central,Murang'a,Subtropical Highland,12 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1600,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Central,Kirinyaga,Subtropical Highland,12 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1600,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Southern,Machakos,Subtropical,18 - 28,5 - 7,50 - 70,600 - 800,Moderate,Low,Medium,Varied,1631,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Farming region
Kenya,Southern,Kajiado,Semi-Arid,18 - 30,6 - 8,30 - 60,300 - 600,High,Low,Low,Varied,1708,Rolling terrain,Rare,High,Mild,11 - 13,Moderate,Pastoralism
Kenya,Southern,Makueni,Subtropical,18 - 28,5 - 7,50 - 70,600 - 800,Moderate,Low,Medium,Varied,902,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Farming region
Kenya,Southern,Taita Taveta,Tropical,20 - 30,5 - 7,50 - 70,600 - 1000,Moderate,Medium,Medium,Varied,300 - 1700,Varied terrain,Rare,Mild,Mild,11 - 13,Moderate,Tourism hotspot
Kenya,North Western,Trans Nzoia,Subtropical Highland,12 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,2060,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,North Western,Bungoma,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1300,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,North Western,Trans Mara,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1726,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Close to Masai Mara
Kenya,North Western,Nandi,Subtropical Highland,10 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,2175
